example_id                                               | status | run_time        |
-------------------------------------------------------- | ------ | --------------- |
./spec/controllers/agents_controller_spec.rb[1:1:1]      | passed | 0.00573 seconds |
./spec/controllers/agents_controller_spec.rb[1:1:2]      | passed | 0.00688 seconds |
./spec/controllers/agents_controller_spec.rb[1:1:3:1]    | passed | 0.00445 seconds |
./spec/controllers/agents_controller_spec.rb[1:2:1]      | passed | 0.00609 seconds |
./spec/controllers/agents_controller_spec.rb[1:2:2]      | passed | 0.01626 seconds |
./spec/controllers/agents_controller_spec.rb[1:2:3]      | passed | 0.01174 seconds |
./spec/controllers/agents_controller_spec.rb[1:2:4]      | passed | 0.00526 seconds |
./spec/controllers/agents_controller_spec.rb[1:2:5:1]    | passed | 0.00367 seconds |
./spec/controllers/agents_controller_spec.rb[1:3:1]      | passed | 0.00441 seconds |
./spec/controllers/agents_controller_spec.rb[1:3:2]      | passed | 0.00335 seconds |
./spec/controllers/agents_controller_spec.rb[1:3:3]      | passed | 0.03522 seconds |
./spec/controllers/agents_controller_spec.rb[1:3:4:1]    | passed | 0.00376 seconds |
./spec/controllers/agents_controller_spec.rb[1:4:1:1]    | passed | 0.00429 seconds |
./spec/controllers/agents_controller_spec.rb[1:4:1:2]    | passed | 0.00465 seconds |
./spec/controllers/agents_controller_spec.rb[1:4:1:3]    | passed | 0.00372 seconds |
./spec/controllers/agents_controller_spec.rb[1:4:2:1]    | passed | 0.00468 seconds |
./spec/controllers/agents_controller_spec.rb[1:4:2:2]    | passed | 0.00366 seconds |
./spec/controllers/agents_controller_spec.rb[1:4:2:3]    | passed | 0.00372 seconds |
./spec/controllers/agents_controller_spec.rb[1:4:2:4]    | passed | 0.00455 seconds |
./spec/controllers/agents_controller_spec.rb[1:4:3:1]    | passed | 0.00457 seconds |
./spec/controllers/agents_controller_spec.rb[1:5:1]      | passed | 0.00408 seconds |
./spec/controllers/agents_controller_spec.rb[1:5:2]      | passed | 0.00409 seconds |
./spec/controllers/agents_controller_spec.rb[1:5:3]      | passed | 0.00502 seconds |
./spec/controllers/agents_controller_spec.rb[1:5:4:1]    | passed | 0.0038 seconds  |
./spec/controllers/agents_controller_spec.rb[1:6:1:1]    | passed | 0.0052 seconds  |
./spec/controllers/agents_controller_spec.rb[1:6:1:2]    | passed | 0.00612 seconds |
./spec/controllers/agents_controller_spec.rb[1:6:1:3]    | passed | 0.0051 seconds  |
./spec/controllers/agents_controller_spec.rb[1:6:2:1]    | passed | 0.00594 seconds |
./spec/controllers/agents_controller_spec.rb[1:6:2:2]    | passed | 0.00528 seconds |
./spec/controllers/agents_controller_spec.rb[1:6:2:3]    | passed | 0.00507 seconds |
./spec/controllers/agents_controller_spec.rb[1:6:2:4]    | passed | 0.00579 seconds |
./spec/controllers/agents_controller_spec.rb[1:6:3:1]    | passed | 0.00367 seconds |
./spec/controllers/agents_controller_spec.rb[1:7:1]      | passed | 0.00776 seconds |
./spec/controllers/agents_controller_spec.rb[1:7:2]      | passed | 0.01907 seconds |
./spec/controllers/agents_controller_spec.rb[1:7:3]      | passed | 0.0069 seconds  |
./spec/controllers/agents_controller_spec.rb[1:7:4:1]    | passed | 0.00386 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:1:1]   | passed | 0.00658 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:1:2]   | passed | 0.00632 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:1:3]   | passed | 0.00718 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:1:4]   | passed | 0.00641 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:1:5]   | passed | 0.00798 seconds |
./spec/controllers/dashboard_controller_spec.rb[1:1:6:1] | passed | 0.00507 seconds |
./spec/models/agent_budget_spec.rb[1:1:1]                | passed | 0.00042 seconds |
./spec/models/agent_budget_spec.rb[1:2:1]                | passed | 0.00106 seconds |
./spec/models/agent_budget_spec.rb[1:2:2]                | passed | 0.0009 seconds  |
./spec/models/agent_budget_spec.rb[1:2:3]                | passed | 0.00098 seconds |
./spec/models/agent_budget_spec.rb[1:3:1:1]              | passed | 0.00022 seconds |
./spec/models/agent_budget_spec.rb[1:3:1:2]              | passed | 0.00021 seconds |
./spec/models/agent_budget_spec.rb[1:3:1:3]              | passed | 0.00027 seconds |
./spec/models/agent_budget_spec.rb[1:3:2:1]              | passed | 0.00021 seconds |
./spec/models/agent_budget_spec.rb[1:4:1:1]              | passed | 0.00022 seconds |
./spec/models/agent_budget_spec.rb[1:4:1:2]              | passed | 0.00021 seconds |
./spec/models/agent_budget_spec.rb[1:4:1:3]              | passed | 0.00022 seconds |
./spec/models/agent_budget_spec.rb[1:4:2:1]              | passed | 0.00027 seconds |
./spec/models/agent_budget_spec.rb[1:4:3:1]              | passed | 0.00023 seconds |
./spec/models/agent_budget_spec.rb[1:5:1:1]              | passed | 0.00022 seconds |
./spec/models/agent_budget_spec.rb[1:5:1:2]              | passed | 0.00022 seconds |
./spec/models/agent_budget_spec.rb[1:5:1:3]              | passed | 0.00021 seconds |
./spec/models/agent_budget_spec.rb[1:5:2:1]              | passed | 0.00021 seconds |
./spec/models/agent_budget_spec.rb[1:6:1]                | passed | 0.00156 seconds |
./spec/models/agent_budget_spec.rb[1:6:2]                | passed | 0.00022 seconds |
./spec/models/agent_budget_spec.rb[1:6:3]                | passed | 0.00027 seconds |
./spec/models/agent_budget_spec.rb[1:7:1]                | passed | 0.00256 seconds |
./spec/models/agent_budget_spec.rb[1:7:2]                | passed | 0.00543 seconds |
./spec/models/agent_budget_spec.rb[1:7:3]                | passed | 0.00396 seconds |
./spec/models/agent_budget_spec.rb[1:8:1]                | passed | 0.00023 seconds |
./spec/models/agent_budget_spec.rb[1:8:2]                | passed | 0.0013 seconds  |
./spec/models/agent_spec.rb[1:1:1]                       | passed | 0.00081 seconds |
./spec/models/agent_spec.rb[1:1:2]                       | passed | 0.00012 seconds |
./spec/models/agent_spec.rb[1:1:3]                       | passed | 0.00013 seconds |
./spec/models/agent_spec.rb[1:1:4]                       | passed | 0.00017 seconds |
./spec/models/agent_spec.rb[1:1:5]                       | passed | 0.00013 seconds |
./spec/models/agent_spec.rb[1:1:6]                       | passed | 0.00013 seconds |
./spec/models/agent_spec.rb[1:1:7]                       | passed | 0.00015 seconds |
./spec/models/agent_spec.rb[1:1:8]                       | passed | 0.00014 seconds |
./spec/models/agent_spec.rb[1:2:1]                       | passed | 0.00072 seconds |
./spec/models/agent_spec.rb[1:2:2]                       | passed | 0.00077 seconds |
./spec/models/agent_spec.rb[1:2:3]                       | passed | 0.00174 seconds |
./spec/models/agent_spec.rb[1:3:1]                       | passed | 0.00072 seconds |
./spec/models/agent_spec.rb[1:4:1:1]                     | passed | 0.01092 seconds |
./spec/models/agent_spec.rb[1:4:2:1]                     | passed | 0.00819 seconds |
./spec/models/agent_spec.rb[1:4:3:1]                     | passed | 0.00979 seconds |
./spec/models/agent_spec.rb[1:5:1]                       | passed | 0.00181 seconds |
./spec/models/agent_spec.rb[1:6:1]                       | passed | 0.00807 seconds |
./spec/models/agent_spec.rb[1:7:1]                       | passed | 0.0008 seconds  |
./spec/models/agent_spec.rb[1:7:2]                       | passed | 0.0033 seconds  |
./spec/models/api_token_spec.rb[1:1:1]                   | passed | 0.00098 seconds |
./spec/models/api_token_spec.rb[1:2:1]                   | passed | 0.002 seconds   |
./spec/models/api_token_spec.rb[1:2:2]                   | passed | 0.00117 seconds |
./spec/models/api_token_spec.rb[1:2:3]                   | passed | 0.00613 seconds |
./spec/models/api_token_spec.rb[1:3:1:1]                 | passed | 0.00933 seconds |
./spec/models/api_token_spec.rb[1:4:1]                   | passed | 0.00325 seconds |
./spec/models/api_token_spec.rb[1:4:2]                   | passed | 0.00277 seconds |
./spec/models/api_token_spec.rb[1:4:3]                   | passed | 0.00711 seconds |
./spec/models/api_token_spec.rb[1:5:1:1]                 | passed | 0.00339 seconds |
./spec/models/api_token_spec.rb[1:5:2:1]                 | passed | 0.00316 seconds |
./spec/models/api_token_spec.rb[1:5:3:1]                 | passed | 0.00333 seconds |
./spec/models/api_token_spec.rb[1:5:4:1]                 | passed | 0.00449 seconds |
./spec/models/api_token_spec.rb[1:5:5:1]                 | passed | 0.00452 seconds |
./spec/models/api_token_spec.rb[1:6:1]                   | passed | 0.00098 seconds |
./spec/models/api_token_spec.rb[1:6:2]                   | passed | 0.00103 seconds |
./spec/models/api_token_spec.rb[1:6:3]                   | passed | 0.00101 seconds |
./spec/models/api_token_spec.rb[1:7:1]                   | passed | 0.00102 seconds |
./spec/models/api_token_spec.rb[1:7:2]                   | passed | 0.001 seconds   |
./spec/models/api_token_spec.rb[1:8:1]                   | passed | 0.0036 seconds  |
./spec/models/api_token_spec.rb[1:8:2]                   | passed | 0.0037 seconds  |
./spec/models/api_token_spec.rb[1:9:1]                   | passed | 0.0075 seconds  |
./spec/models/api_token_spec.rb[1:10:1]                  | passed | 0.0014 seconds  |
./spec/models/api_token_spec.rb[1:10:2]                  | passed | 0.00527 seconds |
./spec/models/approval_request_spec.rb[1:1:1]            | passed | 0.00039 seconds |
./spec/models/approval_request_spec.rb[1:2:1]            | passed | 0.00124 seconds |
./spec/models/approval_request_spec.rb[1:2:2]            | passed | 0.0011 seconds  |
./spec/models/approval_request_spec.rb[1:2:3]            | passed | 0.00028 seconds |
./spec/models/approval_request_spec.rb[1:2:4]            | passed | 0.00088 seconds |
./spec/models/approval_request_spec.rb[1:3:1:1]          | passed | 0.01125 seconds |
./spec/models/approval_request_spec.rb[1:3:2:1]          | passed | 0.01069 seconds |
./spec/models/approval_request_spec.rb[1:3:3:1]          | passed | 0.01146 seconds |
./spec/models/approval_request_spec.rb[1:3:4:1]          | passed | 0.01167 seconds |
./spec/models/approval_request_spec.rb[1:4:1]            | passed | 0.00026 seconds |
./spec/models/approval_request_spec.rb[1:4:2]            | passed | 0.00032 seconds |
./spec/models/approval_request_spec.rb[1:5:1]            | passed | 0.00024 seconds |
./spec/models/approval_request_spec.rb[1:5:2]            | passed | 0.00025 seconds |
./spec/models/approval_request_spec.rb[1:6:1]            | passed | 0.00268 seconds |
./spec/models/approval_request_spec.rb[1:6:2]            | passed | 0.00035 seconds |
./spec/models/approval_request_spec.rb[1:7:1:1]          | passed | 0.00032 seconds |
./spec/models/approval_request_spec.rb[1:7:2:1]          | passed | 0.00027 seconds |
./spec/models/approval_request_spec.rb[1:7:3:1]          | passed | 0.00028 seconds |
./spec/models/approval_request_spec.rb[1:7:4:1]          | passed | 0.00026 seconds |
./spec/models/approval_request_spec.rb[1:8:1]            | passed | 0.00297 seconds |
./spec/models/approval_request_spec.rb[1:8:2]            | passed | 0.00359 seconds |
./spec/models/approval_request_spec.rb[1:8:3]            | passed | 0.00482 seconds |
./spec/models/approval_request_spec.rb[1:9:1]            | passed | 0.00143 seconds |
./spec/models/approval_request_spec.rb[1:9:2]            | passed | 0.00163 seconds |
./spec/models/approval_request_spec.rb[1:10:1]           | passed | 0.00031 seconds |
./spec/models/approval_request_spec.rb[1:10:2]           | passed | 0.0011 seconds  |
./spec/models/audit_log_spec.rb[1:1:1]                   | passed | 0.00125 seconds |
./spec/models/audit_log_spec.rb[1:1:2]                   | passed | 0.00134 seconds |
./spec/models/audit_log_spec.rb[1:1:3]                   | passed | 0.00095 seconds |
./spec/models/audit_log_spec.rb[1:2:1:1]                 | passed | 0.00505 seconds |
./spec/models/audit_log_spec.rb[1:2:2:1]                 | passed | 0.00549 seconds |
./spec/models/audit_log_spec.rb[1:2:3:1]                 | passed | 0.00504 seconds |
./spec/models/audit_log_spec.rb[1:3:1:1]                 | passed | 0.00658 seconds |
./spec/models/audit_log_spec.rb[1:3:2:1]                 | passed | 0.00015 seconds |
./spec/models/audit_log_spec.rb[1:4:1]                   | passed | 0.00148 seconds |
./spec/models/audit_log_spec.rb[1:4:2]                   | passed | 0.0011 seconds  |
./spec/models/audit_log_spec.rb[1:4:3]                   | passed | 0.00135 seconds |
./spec/models/audit_log_spec.rb[1:4:4]                   | passed | 0.00115 seconds |
./spec/models/audit_log_spec.rb[1:5:1]                   | passed | 0.001 seconds   |
./spec/models/audit_log_spec.rb[1:5:2]                   | passed | 0.00257 seconds |
./spec/models/audit_log_spec.rb[1:6:1]                   | passed | 0.00016 seconds |
./spec/models/audit_log_spec.rb[1:6:2]                   | passed | 0.00088 seconds |
./spec/models/channel_spec.rb[1:1:1]                     | passed | 0.00102 seconds |
./spec/models/channel_spec.rb[1:1:2]                     | passed | 0.00112 seconds |
./spec/models/channel_spec.rb[1:2:1:1]                   | passed | 0.00374 seconds |
./spec/models/channel_spec.rb[1:3:1]                     | passed | 0.00011 seconds |
./spec/models/channel_spec.rb[1:3:2]                     | passed | 0.00015 seconds |
./spec/models/channel_spec.rb[1:4:1]                     | passed | 0.00412 seconds |
./spec/models/channel_spec.rb[1:4:2]                     | passed | 0.00056 seconds |
./spec/models/device_pairing_spec.rb[1:1:1]              | passed | 0.00184 seconds |
./spec/models/device_pairing_spec.rb[1:1:2]              | passed | 0.00159 seconds |
./spec/models/device_pairing_spec.rb[1:1:3]              | passed | 0.00152 seconds |
